"plot_id","line","audpc","trial","Name","CR_7","CR_8","CR_9","CR_11","CR_12","CR_13","CR_15","CR_16","heading_date"
5501,"SD100719",535,"2017_late","SD100719",10,10,10,30,40,40,30,70,38
5502,"MN06213",655,"2017_late","MN06213",10,20,30,30,40,40,40,70,42
5503,"IL08-2010",625,"2017_late","IL08-2010",10,20,20,30,40,50,40,60,35
5504,"SD081577",495,"2017_late","SD081577",10,10,20,30,30,30,30,50,40
5505,"ND090807",520,"2017_late","ND090807",10,20,20,20,30,40,30,60,40
5506,"SHELBY427",645,"2017_late","SHELBY427",10,20,30,20,40,50,30,90,37
5507,"WIX10055-8",212.5,"2017_late","WIX10055-8",5,5,10,10,10,10,20,20,43
5508,"SD050938",460,"2017_late","SD050938",10,20,10,20,30,20,30,70,40
5509,"WIX9562-5",162.5,"2017_late","WIX9562-5",5,10,10,10,10,5,5,10,37
5510,"LAO-1012-040",475,"2017_late","LAO-1012-040",10,10,20,20,30,30,30,60,38
5511,"IL00-1030",570,"2017_late","IL00-1030",10,20,20,30,30,40,30,70,41
5512,"SD120289",256,"2017_late","SD120289",1,1,5,10,20,20,20,40,34
5513,"LEGGETT",204.5,"2017_late","LEGGETT",1,1,1,5,20,10,20,40,43
5514,"WIX8787-2",360,"2017_late","WIX8787-2",5,10,10,20,20,20,30,40,39
5515,"SD080611",670,"2017_late","SD080611",10,20,20,30,40,50,40,90,35
5516,"MORTON",425,"2017_late","MORTON",10,10,10,20,30,30,30,50,44
5517,"ND100362",370,"2017_late","ND100362",10,10,10,20,30,30,20,30,45
5518,"Deon",390,"2017_late","Deon",5,10,10,20,30,30,30,30,42
5519,"OPTIMUM",440,"2017_late","OPTIMUM",5,10,10,20,30,40,30,50,46
5520,"MN841801-1",350,"2017_late","MN841801-1",10,20,10,20,20,20,20,30,39
5521,"Portage",460,"2017_late","Portage",10,10,20,20,30,30,30,50,43
5522,"SD090240",485,"2017_late","SD090240",10,20,20,20,30,30,30,50,43
5523,"MN02231",485,"2017_late","MN02231",10,20,20,20,30,30,30,50,42
5524,"ND070182",322.5,"2017_late","ND070182",5,5,10,20,20,20,20,40,NA
