"plot_id","line","audpc","trial","Name","CR_1","CR_2","CR_3","CR_4","CR_5","CR_6","CR_7"
9001,"SD080611",455,"2018","SD080611",5,5,10,20,30,40,60
9002,"MN841801-1",197,"2018","MN841801-1",5,1,5,5,10,20,30
9003,"SD120524",247.5,"2018","SD120524",5,5,5,10,20,20,30
9004,"SD111922",395,"2018","SD111922",5,5,10,20,20,30,60
9005,"P021A1-78-1",537.5,"2018","P021A1-78-1",5,5,5,30,40,40,80
9006,"IL11-2353",261.5,"2018","IL11-2353",1,1,1,10,20,20,50
9007,"Portage",342.5,"2018","Portage",5,5,5,20,20,20,60
9008,"SD100602",342.5,"2018","SD100602",5,5,5,20,30,30,30
9009,"P9741A1-4-6-86",374.5,"2018","P9741A1-4-6-86",5,1,5,20,30,30,50
9010,"MN07208",274.5,"2018","MN07208",5,1,5,20,20,20,30
9011,"WIX9150-1",94,"2018","WIX9150-1",1,1,1,5,10,10,5
9012,"Deon",194.5,"2018","Deon",5,1,5,10,10,20,20
9013,"IA01005-2",162,"2018","IA01005-2",5,1,5,5,10,10,30
9014,"SD090780",285,"2018","SD090780",5,5,10,10,20,20,40
9015,"AAC_NICOLAS",460,"2018","AAC_NICOLAS",10,5,10,30,30,30,60
9016,"ND040196",392.5,"2018","ND040196",10,5,5,20,30,20,70
9017,"MN08260",178,"2018","MN08260",1,1,5,5,20,20,10
9018,"MN04242",450,"2018","MN04242",5,10,10,20,30,30,70
9019,"MN06203",333.5,"2018","MN06203",5,5,1,10,30,30,50
9020,"ND060182",247.5,"2018","ND060182",5,5,5,10,20,20,30
9021,"Marvelous",475,"2018","Marvelous",5,5,10,30,30,30,70
9022,"GOPHER",480,"2018","GOPHER",5,5,10,20,30,30,90
9023,"SD031128-245",495,"2018","SD031128-245",5,5,10,20,30,40,80
9024,"SHELBY427",469.5,"2018","SHELBY427",5,1,5,20,30,40,80
9025,"MN11110",375.5,"2018","MN11110",5,1,1,20,20,30,70
9026,"SD041445-93",362.5,"2018","SD041445-93",5,5,5,20,20,20,70
9027,"ND051306",279.5,"2018","ND051306",5,1,5,10,20,20,50
9028,"IL05-3337",509.5,"2018","IL05-3337",5,1,5,20,40,50,70
9029,"SD120640",335.5,"2018","SD120640",1,1,5,10,20,20,80
9030,"SD100644",422.5,"2018","SD100644",5,5,5,20,30,30,70
9031,"SD61081",267,"2018","SD61081",5,1,5,5,20,10,70
9032,"MN04120",285.5,"2018","MN04120",5,1,1,10,20,20,60
9033,"MN03114",407.5,"2018","MN03114",5,5,5,10,30,30,80
9034,"Deon",342.5,"2018","Deon",5,5,5,20,20,20,60
9035,"LAO-1012-040",382.5,"2018","LAO-1012-040",5,5,5,20,30,30,50
9036,"SD041016",240.5,"2018","SD041016",1,1,5,10,20,10,50
9037,"P0528A1-6-1",490.5,"2018","P0528A1-6-1",1,1,5,20,40,40,80
9038,"MN04136",207,"2018","MN04136",5,1,5,5,30,20,10
9039,"Deon",279.5,"2018","Deon",5,1,5,10,20,20,50
9040,"LEGGETT",164,"2018","LEGGETT",1,1,5,1,10,10,40
9041,"ND021612",480,"2018","ND021612",5,5,10,20,30,30,90
9042,"AAC_ALMONTE",292.5,"2018","AAC_ALMONTE",5,5,5,10,30,20,40
9043,"ND111357",475,"2018","ND111357",10,10,10,20,30,30,80
9044,"SD050608",307.5,"2018","SD050608",5,5,5,10,20,20,60
9045,"IL10-9867",280.5,"2018","IL10-9867",1,1,5,10,20,10,70
9046,"MN10253",305,"2018","MN10253",5,5,10,10,20,20,50
9047,"ND040250",480,"2018","ND040250",10,10,10,20,40,30,70
9048,"IL08-2010",307.5,"2018","IL08-2010",5,5,5,10,20,20,60
9049,"SD120069",261.5,"2018","SD120069",1,1,1,10,20,20,50
9050,"OA1357-2",267.5,"2018","OA1357-2",5,5,5,10,20,20,40
9051,"LAO-1104-028C1",267.5,"2018","LAO-1104-028C1",5,5,5,10,20,20,40
9052,"WIX9528-1",129,"2018","WIX9528-1",1,1,1,5,20,10,10
9053,"IL06-5465",442.5,"2018","IL06-5465",5,5,5,20,30,30,80
9054,"IA02010-2-1",405,"2018","IA02010-2-1",10,5,10,20,20,20,80
9055,"REINS",422.5,"2018","REINS",5,5,5,20,30,30,70
9056,"MN06120",372.5,"2018","MN06120",5,5,5,10,30,20,80
9057,"MN10130",325,"2018","MN10130",5,5,10,10,20,20,60
9058,"IL00-1030",350,"2018","IL00-1030",5,5,10,10,30,20,60
9059,"SD100015",397.5,"2018","SD100015",5,5,5,20,20,30,70
9060,"ND051312",207.5,"2018","ND051312",5,5,5,10,20,20,10
9061,"WIX9082-1",184,"2018","WIX9082-1",1,1,1,5,20,20,20
9062,"MN11231",146.5,"2018","MN11231",1,1,1,10,20,10,10
9063,"SD120456",320,"2018","SD120456",5,5,10,20,20,20,40
9064,"ND102000",250.5,"2018","ND102000",1,1,5,10,10,20,50
9065,"KAME",407.5,"2018","KAME",5,5,5,20,30,20,80
9066,"P021A1-66-2",479.5,"2018","P021A1-66-2",5,1,5,20,40,30,90
9067,"SD110304",487.5,"2018","SD110304",5,5,5,20,40,30,90
9068,"MN08252",238.5,"2018","MN08252",1,5,5,20,20,20,10
9069,"SD030888",560,"2018","SD030888",10,5,10,30,40,40,80
9070,"OA1256-1",382.5,"2018","OA1256-1",5,5,5,20,30,30,50
9071,"Marvelous",462.5,"2018","Marvelous",5,5,5,30,40,30,60
9072,"IL09-5239",505,"2018","IL09-5239",5,5,10,20,40,30,90
9073,"P0714A1-29-2",442.5,"2018","P0714A1-29-2",5,5,5,20,30,30,80
9074,"SD050938",407.5,"2018","SD050938",5,5,5,20,30,20,80
9075,"MN09223",240.5,"2018","MN09223",1,1,5,10,20,10,50
9076,"AAC_OAKLIN",385,"2018","AAC_OAKLIN",5,5,10,20,30,20,60
9077,"SD081563",467.5,"2018","SD081563",5,5,5,20,40,30,80
9078,"P0541A1-1",480,"2018","P0541A1-1",10,5,10,30,30,30,70
9079,"SD081577",490,"2018","SD081577",10,5,10,20,40,30,80
9080,"Deon",385,"2018","Deon",5,5,10,20,30,20,60
9081,"WIX9287-2",241.5,"2018","WIX9287-2",1,1,1,10,20,20,40
9082,"SD110640",507.5,"2018","SD110640",10,5,5,30,40,30,80
9083,"SD041405",387.5,"2018","SD041405",5,5,5,20,30,20,70
9084,"P021A1-25-53",600,"2018","P021A1-25-53",5,5,10,30,50,40,90
9085,"IL06-3761",575,"2018","IL06-3761",5,5,10,30,40,40,90
9086,"Portage",440,"2018","Portage",10,5,10,20,20,30,80
9087,"SD041451",282.5,"2018","SD041451",5,5,5,10,10,20,60
9088,"MN05237",397.5,"2018","MN05237",5,5,5,20,20,30,70
9089,"SD120296",246.5,"2018","SD120296",1,1,1,10,20,10,60
9090,"AAC_ROSKENS",382.5,"2018","AAC_ROSKENS",5,5,5,20,20,20,80
9091,"IL02-8011",550,"2018","IL02-8011",5,10,10,30,40,30,90
9092,"SD120638",281.5,"2018","SD120638",1,1,1,10,20,20,60
9093,"P075A1-3-2",542.5,"2018","P075A1-3-2",5,5,5,30,40,30,100
9094,"04P07A-BS5C",121.5,"2018","04P07A-BS5C",1,1,1,10,10,10,10
9095,"WPAT04P03-PY3B",166.5,"2018","WPAT04P03-PY3B",1,1,1,10,20,10,20
9096,"MN09256",245,"2018","MN09256",5,5,10,10,20,20,20
9097,"P021A1-25",448.5,"2018","P021A1-25",5,5,1,20,30,30,90
9098,"SD120266",307.5,"2018","SD120266",5,5,5,10,20,20,60
9099,"SD081644",442.5,"2018","SD081644",5,5,5,20,30,30,80
9100,"SD050945",429.5,"2018","SD050945",5,1,5,20,20,30,90
9101,"DON",500,"2018","DON",10,10,10,20,40,30,80
9102,"Deon",342.5,"2018","Deon",5,5,5,20,20,20,60
9103,"OA1271-3",190,"2018","OA1271-3",5,5,5,5,10,10,40
9104,"MN11221",307.5,"2018","MN11221",5,5,5,10,20,20,60
9105,"ND100362",405,"2018","ND100362",5,5,10,20,30,20,70
9106,"IL05-9931",367.5,"2018","IL05-9931",5,5,5,20,30,20,60
9107,"WIX9221-8",303.5,"2018","WIX9221-8",1,5,5,10,20,20,60
9108,"WIX9500-6",206.5,"2018","WIX9500-6",1,1,1,10,20,10,40
9109,"Deon",385,"2018","Deon",5,5,10,20,30,20,60
9110,"ND090709",440,"2018","ND090709",10,10,10,20,40,30,50
9111,"MN841801-1",375,"2018","MN841801-1",10,5,10,10,30,20,70
9112,"HA08-03X15-1",562.5,"2018","HA08-03X15-1",5,5,5,30,50,40,80
9113,"RON",302.5,"2018","RON",5,5,5,20,20,20,40
9114,"SD091510",407.5,"2018","SD091510",10,5,5,20,30,30,60
9115,"SD100198",502.5,"2018","SD100198",5,5,5,20,40,40,80
9116,"SD051005",417.5,"2018","SD051005",5,5,5,20,20,30,80
9117,"P075A1-7",480,"2018","P075A1-7",5,5,10,20,30,30,90
9118,"ND060342",382.5,"2018","ND060342",5,5,5,20,20,20,80
9119,"SD081949",440,"2018","SD081949",5,5,10,20,30,30,70
9120,"MN09103",487.5,"2018","MN09103",5,5,5,20,40,30,90
9121,"P0216A1-1-45",442.5,"2018","P0216A1-1-45",5,5,5,20,30,30,80
9122,"SD110808",392.5,"2018","SD110808",10,5,5,20,30,20,70
9123,"SD090880",485,"2018","SD090880",5,5,10,20,40,30,80
9124,"WIX8787-2",232.5,"2018","WIX8787-2",5,5,5,10,20,10,40
9125,"ND021052",485,"2018","ND021052",5,5,10,20,40,30,80
9126,"AC_ASSINIBOIA",482.5,"2018","AC_ASSINIBOIA",5,5,5,30,40,30,70
9127,"SD101027",497.5,"2018","SD101027",5,5,5,30,30,30,90
9128,"Deon",282.5,"2018","Deon",5,5,5,20,20,20,30
9129,"ND070388",380,"2018","ND070388",5,5,10,20,20,20,70
9130,"ND080816",442.5,"2018","ND080816",5,5,5,20,30,30,80
9131,"SD110605",407.5,"2018","SD110605",5,5,5,20,30,20,80
9132,"WIX8787-3",231.5,"2018","WIX8787-3",1,1,1,10,30,10,40
9133,"CLINTLAND64",462.5,"2018","CLINTLAND64",5,5,5,20,30,30,90
9134,"P973A38-9-3-2-29",417.5,"2018","P973A38-9-3-2-29",5,5,5,20,20,30,80
9135,"WIX9487-1",318.5,"2018","WIX9487-1",1,5,5,20,20,20,50
9136,"HAYDEN",360,"2018","HAYDEN",5,5,10,20,20,20,60
9137,"WIX8787-4",206.5,"2018","WIX8787-4",1,1,1,10,20,10,40
9138,"MN05205",337.5,"2018","MN05205",5,5,5,20,10,20,70
9139,"SD60980",272.5,"2018","SD60980",5,5,5,10,20,10,60
9140,"SD080788",407.5,"2018","SD080788",5,5,5,20,30,20,80
9141,"IL02-8663",462.5,"2018","IL02-8663",5,5,5,20,30,30,90
9142,"CLINTFORD",462.5,"2018","CLINTFORD",5,5,5,20,30,30,90
9143,"OA1331-6",477.5,"2018","OA1331-6",5,5,5,30,30,30,80
9144,"SD111939",455,"2018","SD111939",5,10,10,20,30,20,90
9145,"MN08211",296.5,"2018","MN08211",1,1,1,20,20,20,50
9146,"IA02023-2-1",425,"2018","IA02023-2-1",10,5,10,20,20,20,90
9147,"MN02234",462.5,"2018","MN02234",5,5,5,20,30,30,90
9148,"MN04232",407.5,"2018","MN04232",5,5,5,20,30,20,80
9149,"Deon",342.5,"2018","Deon",5,5,5,20,20,20,60
9150,"IL04-7077",555,"2018","IL04-7077",10,5,10,30,30,40,90
9151,"IL07-8258",577.5,"2018","IL07-8258",5,5,5,30,40,40,100
9152,"NATTY",367.5,"2018","NATTY",5,5,5,20,30,20,60
9153,"MN07104",367.5,"2018","MN07104",10,5,5,20,20,20,70
9154,"ND050490",354.5,"2018","ND050490",5,1,5,20,20,20,70
