"plot_id","line","cr_severity","date"
5787,"IL02-8663",30,2017-06-30
5547,"Portage",30,2017-06-30
5548,"SD050716",30,2017-06-30
5788,"Deon",20,2017-06-30
5546,"MN04120",40,2017-06-30
5551,"ND051306",30,2017-06-30
5552,"MN06120",40,2017-06-30
5549,"MN10121",30,2017-06-30
5550,"MN11221",30,2017-06-30
5785,"WIX9528-1",5,2017-06-30
5786,"WIX9878-3",10,2017-06-30
5557,"CLINTLAND64",30,2017-06-30
5558,"MN841801-1",30,2017-06-30
5559,"Deon",30,2017-06-30
5560,"OA1341-1",40,2017-06-30
5561,"SD110808",30,2017-06-30
5562,"IL06-8153",30,2017-06-30
5563,"WIX9082-1",20,2017-06-30
5564,"06P04A-E07B3",20,2017-06-30
5565,"P0714A1-29-2",30,2017-06-30
5553,"SD120316",30,2017-06-30
5554,"IA02168-1-1",40,2017-06-30
5555,"ND090709",40,2017-06-30
5556,"Marvelous",30,2017-06-30
5773,"Deon",10,2017-06-30
5774,"SD050945",20,2017-06-30
5775,"Ogle",30,2017-06-30
5776,"SD101027",30,2017-06-30
5777,"IA02023-2-1",30,2017-06-30
5778,"P0216A1-1",30,2017-06-30
5779,"MN08211",10,2017-06-30
5780,"00P28-AN01B1",20,2017-06-30
5781,"ND080816",1,2017-06-30
5782,"MN09256",10,2017-06-30
5783,"SD081644",30,2017-06-30
5784,"NATTY",10,2017-06-30
5582,"Marvelous",30,2017-06-30
5583,"MN09115",30,2017-06-30
5584,"MN08160",30,2017-06-30
5585,"SD031128-245",30,2017-06-30
5586,"WIX9221-8",20,2017-06-30
5587,"04P07B-GN1C",10,2017-06-30
5588,"ND101473",20,2017-06-30
5589,"P9741A1-4-6-86",20,2017-06-30
5590,"SD100454",30,2017-06-30
5591,"AAC_ROSKENS",20,2017-06-30
5592,"MN10209",20,2017-06-30
5593,"SD120553",20,2017-06-30
5594,"SD120129",20,2017-06-30
5595,"ND021052",40,2017-06-30
5596,"Deon",20,2017-06-30
5597,"OA1256-1",20,2017-06-30
5598,"SD120296",20,2017-06-30
5599,"OT2083",30,2017-06-30
5600,"ND111357",20,2017-06-30
5601,"Deon",20,2017-06-30
5602,"OA1253-1",30,2017-06-30
5603,"SD041016",20,2017-06-30
5604,"WIX10045-9",10,2017-06-30
5605,"SD110765",30,2017-06-30
5566,"COLT",30,2017-06-30
5567,"IL05-3337",30,2017-06-30
5568,"ND070388",20,2017-06-30
5569,"SD041445-93",30,2017-06-30
5570,"P021A1-78-1",30,2017-06-30
5571,"ND030349",30,2017-06-30
5572,"Deon",20,2017-06-30
5573,"SD111946",20,2017-06-30
5574,"P973A38-9-3-2-29",20,2017-06-30
5575,"WIX9414-1",10,2017-06-30
5576,"MN08260",20,2017-06-30
5577,"SD041445-119",20,2017-06-30
5578,"MN11211",20,2017-06-30
5579,"IL02-5630",30,2017-06-30
5580,"SD100644",20,2017-06-30
5581,"MN11211",10,2017-06-30
5501,"SD100719",30,2017-06-30
5502,"MN06213",30,2017-06-30
5503,"IL08-2010",30,2017-06-30
5504,"SD081577",30,2017-06-30
5505,"ND090807",20,2017-06-30
5506,"SHELBY427",20,2017-06-30
5507,"WIX10055-8",10,2017-06-30
5508,"SD050938",20,2017-06-30
5509,"WIX9562-5",10,2017-06-30
5510,"LAO-1012-040",20,2017-06-30
5511,"IL00-1030",30,2017-06-30
5512,"SD120289",10,2017-06-30
5513,"LEGGETT",5,2017-06-30
5514,"WIX8787-2",20,2017-06-30
5515,"SD080611",30,2017-06-30
5516,"MORTON",20,2017-06-30
5517,"ND100362",20,2017-06-30
5518,"Deon",20,2017-06-30
5519,"OPTIMUM",20,2017-06-30
5520,"MN841801-1",20,2017-06-30
5521,"Portage",20,2017-06-30
5522,"SD090240",20,2017-06-30
5523,"MN02231",20,2017-06-30
5524,"ND070182",20,2017-06-30
5525,"SD081038",20,2017-06-30
5526,"IA02130-2-3",30,2017-06-30
5527,"Marvelous",30,2017-06-30
5528,"SD050616",30,2017-06-30
5529,"Ogle",20,2017-06-30
