"","date_environment","cor","date","environment","planting_date","days_after_planting","plot_color"
"1","2017_early 2017-06-07",0.225285714300292,2017-06-07,"2017_early",2017-05-05,33,"red"
"7","2017_early 2017-06-09",0.26381206415665,2017-06-09,"2017_early",2017-05-05,35,"red"
"8","2017_early 2017-06-12",-0.0291032588469376,2017-06-12,"2017_early",2017-05-05,38,"red"
"9","2017_early 2017-06-14",-0.037873650889746,2017-06-14,"2017_early",2017-05-05,40,"red"
"10","2017_early 2017-06-16",0.0895520465815781,2017-06-16,"2017_early",2017-05-05,42,"red"
"11","2017_early 2017-06-19",0.281419236699363,2017-06-19,"2017_early",2017-05-05,45,"red"
"12","2017_early 2017-06-21",0.428447658191841,2017-06-21,"2017_early",2017-05-05,47,"red"
"13","2017_early 2017-06-23",0.470866093303511,2017-06-23,"2017_early",2017-05-05,49,"red"
"14","2017_early 2017-06-26",0.261748719964137,2017-06-26,"2017_early",2017-05-05,52,"red"
"2","2017_early 2017-06-30",0.253171843665464,2017-06-30,"2017_early",2017-05-05,56,"red"
"3","2017_early 2017-07-03",0.317693236826144,2017-07-03,"2017_early",2017-05-05,59,"red"
"4","2017_early 2017-07-05",0.237191414021774,2017-07-05,"2017_early",2017-05-05,61,"red"
"5","2017_early 2017-07-07",0.163184344073596,2017-07-07,"2017_early",2017-05-05,63,"red"
"6","2017_early 2017-07-10",0.16436864664072,2017-07-10,"2017_early",2017-05-05,66,"red"
"20","2017_late 2017-06-21",0.258441071408777,2017-06-21,"2017_late",2017-05-21,31,"green"
"21","2017_late 2017-06-23",0.159485595771143,2017-06-23,"2017_late",2017-05-21,33,"green"
"22","2017_late 2017-06-26",0.0333681840671812,2017-06-26,"2017_late",2017-05-21,36,"green"
"15","2017_late 2017-06-30",0.314115268866348,2017-06-30,"2017_late",2017-05-21,40,"green"
"16","2017_late 2017-07-03",0.355319800811721,2017-07-03,"2017_late",2017-05-21,43,"green"
"17","2017_late 2017-07-05",0.340597312960313,2017-07-05,"2017_late",2017-05-21,45,"green"
"18","2017_late 2017-07-07",0.128019882835989,2017-07-07,"2017_late",2017-05-21,47,"green"
"19","2017_late 2017-07-10",0.238403709039544,2017-07-10,"2017_late",2017-05-21,50,"green"
"23","2018 2018-06-13",0.00965175197583706,2018-06-13,"2018",2018-05-07,37,"blue"
"24","2018 2018-06-15",-0.074122451784919,2018-06-15,"2018",2018-05-07,39,"blue"
"25","2018 2018-06-20",0.305497961081038,2018-06-20,"2018",2018-05-07,44,"blue"
"26","2018 2018-06-22",0.514213602927514,2018-06-22,"2018",2018-05-07,46,"blue"
"27","2018 2018-06-25",0.493301820816169,2018-06-25,"2018",2018-05-07,49,"blue"
