"","date_environment","cor","date","environment","planting_date","days_after_planting","plot_color"
"1","2017_early 2017-06-07",0.268852338493905,2017-06-07,"2017_early",2017-05-05,33,"red"
"7","2017_early 2017-06-09",0.291263529918646,2017-06-09,"2017_early",2017-05-05,35,"red"
"8","2017_early 2017-06-12",-0.025568508423016,2017-06-12,"2017_early",2017-05-05,38,"red"
"9","2017_early 2017-06-14",-0.0318038563723896,2017-06-14,"2017_early",2017-05-05,40,"red"
"10","2017_early 2017-06-16",0.0849605935708838,2017-06-16,"2017_early",2017-05-05,42,"red"
"11","2017_early 2017-06-19",0.265336435588252,2017-06-19,"2017_early",2017-05-05,45,"red"
"12","2017_early 2017-06-21",0.45347292052514,2017-06-21,"2017_early",2017-05-05,47,"red"
"13","2017_early 2017-06-23",0.461560905106998,2017-06-23,"2017_early",2017-05-05,49,"red"
"14","2017_early 2017-06-26",0.265915038621558,2017-06-26,"2017_early",2017-05-05,52,"red"
"2","2017_early 2017-06-30",0.23197798208767,2017-06-30,"2017_early",2017-05-05,56,"red"
"3","2017_early 2017-07-03",0.31796120952125,2017-07-03,"2017_early",2017-05-05,59,"red"
"4","2017_early 2017-07-05",0.223460962819504,2017-07-05,"2017_early",2017-05-05,61,"red"
"5","2017_early 2017-07-07",0.164888134156084,2017-07-07,"2017_early",2017-05-05,63,"red"
"6","2017_early 2017-07-10",0.169233226431868,2017-07-10,"2017_early",2017-05-05,66,"red"
"20","2017_late 2017-06-21",0.263548845289724,2017-06-21,"2017_late",2017-05-21,31,"green"
"21","2017_late 2017-06-23",0.155054762206647,2017-06-23,"2017_late",2017-05-21,33,"green"
"22","2017_late 2017-06-26",0.0314992423416213,2017-06-26,"2017_late",2017-05-21,36,"green"
"15","2017_late 2017-06-30",0.311633381546802,2017-06-30,"2017_late",2017-05-21,40,"green"
"16","2017_late 2017-07-03",0.339195512730667,2017-07-03,"2017_late",2017-05-21,43,"green"
"17","2017_late 2017-07-05",0.33292908270114,2017-07-05,"2017_late",2017-05-21,45,"green"
"18","2017_late 2017-07-07",0.114992175300075,2017-07-07,"2017_late",2017-05-21,47,"green"
"19","2017_late 2017-07-10",0.216057723434126,2017-07-10,"2017_late",2017-05-21,50,"green"
"23","2018 2018-06-13",0.020423616720787,2018-06-13,"2018",2018-05-07,37,"blue"
"24","2018 2018-06-15",-0.0798999873296514,2018-06-15,"2018",2018-05-07,39,"blue"
"25","2018 2018-06-20",0.316000487457517,2018-06-20,"2018",2018-05-07,44,"blue"
"26","2018 2018-06-22",0.526814877129798,2018-06-22,"2018",2018-05-07,46,"blue"
"27","2018 2018-06-25",0.466671094824271,2018-06-25,"2018",2018-05-07,49,"blue"
