"date_environments","r2","MAE","RMSE","cor","var_obs","date","environment","planting_date","days_after_planting"
"2017_early 2017-06-07",0.0377428526367363,0.811567575468337,1.32575758759812,0.244796733820724,1.72230383684756,2017-06-07,"2017_early",2017-05-05,33
"2017_early 2017-06-30",0.0374635980607843,9.93426006874396,13.0722789372684,0.203984529498269,172.152642730677,2017-06-30,"2017_early",2017-05-05,56
"2017_early 2017-07-03",0.0266088808336035,14.3682984480215,17.9416433257024,0.186987868399228,319.17847678304,2017-07-03,"2017_early",2017-05-05,59
"2017_early 2017-07-05",0.00854945173907112,18.9682963260408,23.660463422575,0.113153592881652,530.257863809195,2017-07-05,"2017_early",2017-05-05,61
"2017_early 2017-07-07",0.0329304124681242,20.6020441468336,26.0513897260758,0.178634698889763,677.501771517456,2017-07-07,"2017_early",2017-05-05,63
"2017_early 2017-07-10",0.0255544962973038,12.7846080923975,19.5238529539323,0.174604549451232,377.21913526904,2017-07-10,"2017_early",2017-05-05,66
"2017_early 2017-06-09",0.0204808283133622,0.518172917695893,0.99704081920864,0.187128718142055,0.974017743979721,2017-06-09,"2017_early",2017-05-05,35
"2017_early 2017-06-12",0.000296423143029331,0.867027861140313,3.2319066509437,0.0784148937069968,9.72807927180551,2017-06-12,"2017_early",2017-05-05,38
"2017_early 2017-06-14",0.00508701578591069,0.344805125501913,0.584098491457428,0.125486476328838,0.328378845489112,2017-06-14,"2017_early",2017-05-05,40
"2017_early 2017-06-16",0.0206277400581865,4.22616052144025,6.37519002393809,0.170771094768847,37.5386565272497,2017-06-16,"2017_early",2017-05-05,42
"2017_early 2017-06-19",0.0474604515613513,6.03611060942015,8.89124975408432,0.268824628827596,78.2445990321466,2017-06-19,"2017_early",2017-05-05,45
"2017_early 2017-06-21",0.175086058020961,6.49335255627354,8.54275556876106,0.401824431513659,88.569650881438,2017-06-21,"2017_early",2017-05-05,47
"2017_early 2017-06-23",0.235319143327292,8.17760710374817,10.2457302354675,0.479312419800516,137.105988593156,2017-06-23,"2017_early",2017-05-05,49
"2017_early 2017-06-26",0.0126073500459047,9.53168550094452,12.2738342867718,0.149716524487191,144.255789837539,2017-06-26,"2017_early",2017-05-05,52
"2017_late 2017-06-30",0.00158391351054217,7.04088551842762,8.75355149528705,0.0941098386832852,67.8495631730183,2017-06-30,"2017_late",2017-05-21,40
"2017_late 2017-07-03",0.124790861066301,7.39679128128448,9.48816972792354,0.337855502742528,102.415493570952,2017-07-03,"2017_late",2017-05-21,43
"2017_late 2017-07-05",0.0538036232653524,8.02272427190094,10.1690052437307,0.245750911293102,105.466084230691,2017-07-05,"2017_late",2017-05-21,45
"2017_late 2017-07-07",0.00524474806176216,8.58924602159699,10.9966382709109,0.13043965172372,110.623603169535,2017-07-07,"2017_late",2017-05-21,47
"2017_late 2017-07-10",0.0291404751181805,18.1027758571105,21.8927707028266,0.182223891835209,470.209299625577,2017-07-10,"2017_late",2017-05-21,50
"2017_late 2017-06-21",0.0789005076079457,3.95945956866023,5.80978314785238,0.316925850542814,35.953705047456,2017-06-21,"2017_late",2017-05-21,31
"2017_late 2017-06-23",0.000126301998836806,5.41835100685463,7.0466988158651,0.0975609024228559,44.4403390125678,2017-06-23,"2017_late",2017-05-21,33
"2017_late 2017-06-26",0.058174660446126,5.67526118721021,6.8457135563579,0.215371538313922,49.0018285780629,2017-06-26,"2017_late",2017-05-21,36
"2018 2018-06-13",0.0252894132551321,1.88784493937066,2.24273270053379,0.183993870546812,4.89415462586194,2018-06-13,"2018",2018-05-07,37
"2018 2018-06-15",0.0211577394662014,2.02900636300412,2.76850526442737,0.185204579190738,7.44594463801781,2018-06-15,"2018",2018-05-07,39
"2018 2018-06-20",0.0783320482782079,5.15716268698786,6.24486191402726,0.265574287531502,41.7103658536585,2018-06-20,"2018",2018-05-07,44
"2018 2018-06-22",0.377258828902388,5.04360324716449,6.72590870651343,0.579115740899515,72.8582559039876,2018-06-22,"2018",2018-05-07,46
"2018 2018-06-25",0.202408091814521,5.25960390379466,6.92219705078276,0.4495167728986,60.0030487804878,2018-06-25,"2018",2018-05-07,49
